"true_img","subject_id","label","N","plot"
"825","16","cross",1,FALSE
"885","16","cross",1,FALSE
"1395","16","cross",1,FALSE
"1425","16","cross",1,FALSE
"1455","16","cross",1,FALSE
"1485","16","cross",1,FALSE
"15","17","heads",1,TRUE
"45","17","heads",1,TRUE
"75","17","heads",1,TRUE
"105","17","heads",1,TRUE
"135","17","heads",1,TRUE
"165","17","heads",1,TRUE
"195","17","heads",1,TRUE
"225","17","heads",1,TRUE
"255","17","heads",1,TRUE
"285","17","heads",1,TRUE
"315","17","heads",1,TRUE
"345","17","heads",1,TRUE
"375","17","heads",1,TRUE
"405","17","heads",1,TRUE
"435","17","heads",1,TRUE
"465","17","heads",1,TRUE
"495","17","heads",1,TRUE
"525","17","heads",1,TRUE
"1485","17","heads",1,TRUE
"555","17","frog",1,TRUE
"585","17","frog",1,TRUE
"615","17","frog",1,TRUE
"645","17","frog",1,TRUE
"675","17","frog",1,TRUE
"705","17","frog",1,TRUE
"735","17","frog",1,TRUE
"765","17","frog",1,TRUE
"795","17","frog",1,TRUE
"825","17","frog",1,TRUE
"855","17","frog",1,TRUE
"885","17","twins",1,TRUE
"915","17","twins",1,TRUE
"945","17","twins",1,TRUE
"975","17","twins",1,TRUE
"1005","17","twins",1,TRUE
"1035","17","twins",1,TRUE
"1065","17","twins",1,TRUE
"1095","17","twins",1,TRUE
"1125","17","twins",1,TRUE
"1155","17","twins",1,TRUE
"1185","17","twins",1,TRUE
"1215","17","twins",1,TRUE
"1245","17","twins",1,TRUE
"1275","17","twins",1,TRUE
"1305","17","births",1,TRUE
"1335","17","births",1,TRUE
"1365","17","births",1,TRUE
"1395","17","births",1,TRUE
"1425","17","births",1,TRUE
"1455","17","births",1,TRUE
"15","18","yoga",1,TRUE
"45","18","yoga",1,TRUE
"75","18","yoga",1,TRUE
"105","18","yoga",1,TRUE
"135","18","yoga",1,TRUE
"165","18","yoga",1,TRUE
"195","18","yoga",1,TRUE
"225","18","yoga",1,TRUE
"255","18","drafly",1,TRUE
"285","18","drafly",1,TRUE
"315","18","drafly",1,TRUE
"345","18","plane",1,TRUE
"375","18","plane",1,TRUE
"405","18","drone",1,TRUE
"435","18","drone",1,TRUE
"465","18","drone",1,TRUE
"585","18","cheer",1,TRUE
"615","18","cheer",1,TRUE
"645","18","cheer",1,TRUE
"675","18","cheer",1,TRUE
"705","18","cheer",1,TRUE
"735","18","cheer",1,TRUE
"765","18","cheer",1,TRUE
"795","18","cheer",1,TRUE
"825","18","cheer",1,TRUE
"855","18","cheer",1,TRUE
"885","18","cheer",1,TRUE
"1395","18","tumble",1,TRUE
"1425","18","tumble",1,TRUE
"1455","18","tumble",1,TRUE
"1485","18","tumble",1,TRUE
"915","18","forcep",1,TRUE
"945","18","forcep",1,TRUE
"975","18","forcep",1,TRUE
"1005","18","forcep",1,TRUE
"1035","18","forcep",1,TRUE
"1215","18","forcep",1,TRUE
"1245","18","forcep",1,TRUE
"1065","18","jack",1,TRUE
"1095","18","jack",1,TRUE
"1125","18","jack",1,TRUE
"1155","18","jack",1,TRUE
"1185","18","jack",1,TRUE
"495","18","mortar",1,TRUE
"525","18","mortar",1,TRUE
"555","18","mortar",1,TRUE
"1275","18","extrac",1,TRUE
"1305","18","extrac",1,TRUE
"1335","18","extrac",1,TRUE
"1365","18","extrac",1,TRUE
"495","19","lobstr",1,FALSE
"525","19","lobstr",1,FALSE
"555","19","lobstr",1,FALSE
"585","19","lobstr",1,FALSE
"615","19","lobstr",1,FALSE
"645","19","lobstr",1,FALSE
"675","19","lobstr",1,FALSE
"705","19","lobstr",1,FALSE
"735","19","lobstr",1,FALSE
"765","19","lobstr",1,FALSE
"795","19","lobstr",1,FALSE
"825","19","lobstr",1,FALSE
"855","19","lobstr",1,FALSE
"885","19","lobstr",1,FALSE
"915","19","lobstr",1,FALSE
"945","19","lobstr",1,FALSE
"975","19","squish",1,FALSE
"1005","19","squish",1,FALSE
"1035","19","squish",1,FALSE
"1065","19","squish",1,FALSE
"1095","19","squish",1,FALSE
"1125","19","squish",1,FALSE
"1155","19","squish",1,FALSE
"1185","19","squish",1,FALSE
"1215","19","squish",1,FALSE
"1245","19","squish",1,FALSE
"1275","19","squish",1,FALSE
"1305","19","squish",1,FALSE
"1335","19","squish",1,FALSE
"15","19","omm",1,FALSE
"45","19","omm",1,FALSE
"75","19","omm",1,FALSE
"105","19","omm",1,FALSE
"135","19","omm",1,FALSE
"165","19","omm",1,FALSE
"195","19","omm",1,FALSE
